Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
24,All,1986-12-28,1985,213.0,Patrick Ewing,C,1987,1,New York Knicks,109.0,1.0
27,All,1986-12-21,1979,206.0,Magic Johnson,PG,1987,7,Los Angeles Lakers,116.0,1.0
27,All,1986-12-14,1982,201.0,Dominique Wilkins,SF,1987,4,Atlanta Hawks,91.0,1.0
27,All,1986-12-07,1981,208.0,Tom Chambers,PF,1987,5,Seattle SuperSonics,100.0,1.0
24,All,1986-11-30,1985,211.0,Hot Rod Williams,FC,1987,0,Cleveland Cavaliers,98.0,1.0
24,All,1986-11-23,1984,190.0,Alvin Robertson,SG,1987,2,San Antonio Spurs,84.0,1.0
33,All,1986-11-16,1976,213.0,Robert Parish,C,1987,9,Boston Celtics,104.0,1.0
24,All,1986-11-09,1984,198.0,Michael Jordan,SG,1987,2,Chicago Bulls,98.0,1.0
24,All,1988-04-24,1985,206.0,Karl Malone,PF,1988,2,Utah Jazz,120.0,1.0
27,All,1988-04-17,1982,190.0,Fat Lever,PG,1988,5,Denver Nuggets,77.0,1.0
24,All,1988-04-10,1986,201.0,Harold Pressley,GF,1988,1,Sacramento Kings,95.0,1.0
25,All,1988-04-03,1984,198.0,Michael Jordan,SG,1988,3,Chicago Bulls,98.0,1.0
25,All,1988-03-27,1984,198.0,Michael Jordan,SG,1988,3,Chicago Bulls,98.0,1.0
25,All,1988-03-20,1984,198.0,Charles Barkley,PF,1988,3,Philadelphia Sixers,114.0,1.0
25,All,1988-03-13,1983,201.0,Clyde Drexler,SG,1988,4,Portland Trail Blazers,95.0,1.0
27,All,1988-03-06,1983,198.0,Bobby Hansen,SG,1988,4,Utah Jazz,86.0,1.0
23,All,1988-02-28,1986,211.0,Roy Tarpley,PF,1988,1,Dallas Mavericks,104.0,1.0
25,All,1988-02-21,1984,185.0,John Stockton,PG,1988,3,Utah Jazz,77.0,1.0
28,All,1988-02-14,1982,201.0,Dominique Wilkins,SF,1988,5,Atlanta Hawks,91.0,1.0
31,All,1988-01-31,1977,201.0,Bernard King,SF,1988,10,Washington Bullets,93.0,1.0
25,All,1988-01-24,1984,198.0,Michael Jordan,SG,1988,3,Chicago Bulls,98.0,1.0
28,All,1988-01-17,1982,201.0,Dominique Wilkins,SF,1988,5,Atlanta Hawks,91.0,1.0
26,All,1988-01-10,1983,190.0,Byron Scott,SG,1988,4,Los Angeles Lakers,88.0,1.0
24,All,1988-01-03,1985,206.0,Karl Malone,PF,1988,2,Utah Jazz,120.0,1.0
28,All,1987-12-27,1982,201.0,Dominique Wilkins,SF,1988,5,Atlanta Hawks,91.0,1.0
29,All,1987-12-20,1981,208.0,Larry Nance,PF,1988,6,Phoenix Suns,93.0,1.0
28,All,1987-12-13,1979,206.0,Magic Johnson,PG,1988,8,Los Angeles Lakers,116.0,1.0
25,All,1987-12-06,1983,201.0,Clyde Drexler,SG,1988,4,Portland Trail Blazers,95.0,1.0
25,All,1987-11-29,1983,201.0,Clyde Drexler,SG,1988,4,Portland Trail Blazers,95.0,1.0
24,All,1987-11-22,1985,201.0,Xavier McDaniel,PF,1988,2,Seattle SuperSonics,93.0,1.0
31,All,1987-11-15,1978,206.0,Larry Bird,SF,1988,8,Boston Celtics,100.0,1.0
25,All,1989-04-23,1985,201.0,Xavier McDaniel,PF,1989,3,Seattle SuperSonics,93.0,1.0
25,All,1989-04-16,1985,206.0,Karl Malone,PF,1989,3,Utah Jazz,120.0,1.0
26,All,1989-04-09,1983,201.0,Clyde Drexler,SG,1989,5,Portland Trail Blazers,95.0,1.0
26,All,1989-04-02,1984,198.0,Michael Jordan,SG,1989,4,Chicago Bulls,98.0,1.0
26,All,1989-03-26,1984,198.0,Michael Jordan,SG,1989,4,Chicago Bulls,98.0,1.0
22,All,1989-03-19,1987,185.0,Kevin Johnson,PG,1989,1,Phoenix Suns,82.0,1.0
27,All,1989-03-12,1981,185.0,Isiah Thomas,PG,1989,7,Detroit Pistons,82.0,1.0
24,All,1989-03-05,1986,203.0,Chuck Person,SF,1989,2,Indiana Pacers,100.0,1.0
26,All,1989-02-26,1985,213.0,Patrick Ewing,C,1989,3,New York Knicks,109.0,1.0
26,All,1989-02-19,1984,213.0,Hakeem Olajuwon,C,1989,4,Houston Rockets,116.0,1.0
25,All,1989-02-05,1986,198.0,Ron Harper,SG,1989,2,Cleveland Cavaliers,84.0,1.0
29,All,1989-01-29,1981,208.0,Tom Chambers,PF,1989,7,Phoenix Suns,100.0,1.0
25,All,1989-01-22,1985,201.0,Chris Mullin,SF,1989,3,Golden State Warriors,98.0,1.0
26,All,1989-01-15,1984,198.0,Michael Jordan,SG,1989,4,Chicago Bulls,98.0,1.0
28,All,1989-01-08,1983,201.0,Dale Ellis,GF,1989,5,Seattle SuperSonics,93.0,1.0
29,All,1989-01-01,1979,206.0,Magic Johnson,PG,1989,9,Los Angeles Lakers,116.0,1.0
26,All,1988-12-25,1983,201.0,Clyde Drexler,SG,1989,5,Portland Trail Blazers,95.0,1.0
35,All,1988-12-18,1976,213.0,Robert Parish,C,1989,11,Boston Celtics,104.0,1.0
26,All,1988-12-11,1985,178.0,Michael Adams,PG,1989,3,Denver Nuggets,74.0,1.0
29,All,1988-12-04,1979,206.0,Magic Johnson,PG,1989,9,Los Angeles Lakers,116.0,1.0
26,All,1988-11-27,1985,213.0,Patrick Ewing,C,1989,3,New York Knicks,109.0,1.0
26,All,1988-11-20,1984,198.0,Michael Jordan,SG,1989,4,Chicago Bulls,98.0,1.0
26,All,1988-11-13,1984,213.0,Hakeem Olajuwon,C,1989,4,Houston Rockets,116.0,1.0
24,All,1990-04-22,1987,216.0,David Robinson,C,1990,0,San Antonio Spurs,113.0,1.0
30,All,1990-04-15,1979,206.0,Magic Johnson,PG,1990,10,Los Angeles Lakers,116.0,1.0
27,All,1990-04-08,1984,198.0,Charles Barkley,PF,1990,5,Philadelphia Sixers,114.0,1.0
27,All,1990-04-01,1984,198.0,Michael Jordan,SG,1990,5,Chicago Bulls,98.0,1.0
24,All,1990-03-25,1987,216.0,David Robinson,C,1990,0,San Antonio Spurs,113.0,1.0
23,All,1990-03-18,1987,185.0,Kevin Johnson,PG,1990,2,Phoenix Suns,82.0,1.0
24,All,1990-03-11,1988,211.0,Rony Seikaly,C,1990,1,Miami Heat,104.0,1.0
27,All,1990-03-04,1984,213.0,Hakeem Olajuwon,C,1990,5,Houston Rockets,116.0,1.0
